frame_number,Time,avg_u,avg_v
539,17.965288421190664,-0.241,-0.229,10786
540,17.998619197482295,-0.241,-0.23,10809
541,18.03194997377393,-0.241,-0.231,10833
542,18.065280750065565,-0.241,-0.232,10856
543,18.0986115263572,-0.241,-0.234,10880
544,18.13194230264883,-0.241,-0.235,10902
545,18.165273078940466,-0.241,-0.236,10923
546,18.1986038552321,-0.241,-0.237,10946
547,18.231934631523732,-0.241,-0.238,10966
548,18.265265407815367,-0.24,-0.239,10986
549,18.298596184107,-0.24,-0.24,11007
550,18.331926960398636,-0.24,-0.241,11028
551,18.365257736690268,-0.24,-0.242,11049
552,18.398588512981902,-0.24,-0.243,11071
553,18.431919289273537,-0.24,-0.244,11090
554,18.465250065565172,-0.24,-0.245,11109
555,18.498580841856803,-0.24,-0.246,11130
556,18.53191161814844,-0.24,-0.247,11151
557,18.565242394440073,-0.239,-0.248,11172
558,18.598573170731708,-0.239,-0.249,11193
559,18.63190394702334,-0.239,-0.25,11214
560,18.665234723314974,-0.239,-0.251,11234
561,18.69856549960661,-0.239,-0.252,11254
562,18.73189627589824,-0.239,-0.253,11275
563,18.765227052189875,-0.239,-0.255,11297
564,18.79855782848151,-0.239,-0.256,11319
565,18.831888604773145,-0.239,-0.257,11340
566,18.865219381064776,-0.239,-0.258,11362
567,18.89855015735641,-0.239,-0.26,11384
568,18.931880933648046,-0.239,-0.261,11405
569,18.96521170993968,-0.239,-0.262,11425
570,18.99854248623131,-0.239,-0.264,11446
571,19.031873262522947,-0.239,-0.265,11463
572,19.06520403881458,-0.239,-0.266,11483
573,19.098534815106216,-0.239,-0.267,11502
574,19.131865591397847,-0.239,-0.268,11521
575,19.165196367689482,-0.239,-0.269,11540
576,19.198527143981117,-0.239,-0.27,11558
577,19.23185792027275,-0.239,-0.271,11575
578,19.265188696564383,-0.239,-0.272,11593
579,19.298519472856018,-0.239,-0.273,11612
580,19.331850249147653,-0.239,-0.274,11631
581,19.365181025439284,-0.239,-0.275,11651
582,19.39851180173092,-0.239,-0.277,11671
583,19.431842578022554,-0.239,-0.278,11691
584,19.46517335431419,-0.239,-0.279,11712
585,19.49850413060582,-0.239,-0.28,11732
586,19.531834906897455,-0.239,-0.281,11752
587,19.56516568318909,-0.239,-0.282,11772
588,19.598496459480724,-0.239,-0.283,11792
589,19.631827235772356,-0.239,-0.284,11813
590,19.66515801206399,-0.239,-0.286,11834
591,19.698488788355625,-0.239,-0.287,11852
592,19.731819564647257,-0.239,-0.288,11872
593,19.76515034093889,-0.239,-0.289,11892
594,19.798481117230526,-0.24,-0.29,11913
